Attack_category,Attack subcategory,Protocol,Source IP,Source Port,Destination IP,Destination Port,Attack_Name,Attack Reference,.,Time
Reconnaissance,HTTP,tcp,175.45.176.0,13284,149.171.126.16,80,Domino Web Server Database Access: /doladmin.nsf (https://strikecenter.bpointsys.com/bps/strikes/recon/http/domino/access_domino_doladmin_nsf.xml),-,.,1421927414-1421927416
Exploits,Unix 'r' Service,udp,175.45.176.3,21223,149.171.126.18,32780,Solaris rwalld Format String Vulnerability (https://strikecenter.bpointsys.com/bps/strikes/exploits/rservices/solaris_rwall_format_string.xml),CVE 2002-0573 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2002%2d0573)BID 4639 (http://www.securityfocus.com/bid/4639)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927415-1421927415
Exploits,Browser,tcp,175.45.176.2,23357,149.171.126.16,80,Windows Metafile (WMF) SetAbortProc() Code Execution [009] (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/wmf_009.xml),CVE 2005-4560 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2005%2d4560)BID 16074 (http://www.securityfocus.com/bid/16074)OSVDB 21987 (http://www.osvdb.org/21987)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927416-1421927416
Exploits,Miscellaneous Batch,tcp,175.45.176.2,13792,149.171.126.16,5555,HP Data Protector Backup (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2011_1729.xml),CVE 2011-1729 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d1729)BID 47638 (http://www.securityfocus.com/bid/47638)OSVDB 72188 (http://www.osvdb.org/72188)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927417-1421927417
Exploits,Cisco IOS ,tcp,175.45.176.2,26939,149.171.126.10,80,Cisco IOS HTTP Authentication Bypass Level 64 (https://strikecenter.bpointsys.com/bps/strikes/exploits/ios/cisco_auth_bypass_level_64.xml),CVE 2001-0537 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2001%2d0537)BID 2936 (http://www.securityfocus.com/bid/2936)OSVDB 578 (http://www.osvdb.org/578)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927418-1421927418
DoS,Miscellaneous,tcp,175.45.176.0,39500,149.171.126.15,80,Cisco DCP2100 SADownStartingFrequency Denial of Service (https://strikecenter.bpointsys.com/bps/strikes/denial/misc/cisco_dcp2100_denial_of_service.xml),http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927419
DoS,Miscellaneous,tcp,175.45.176.0,23910,149.171.126.15,80,Cisco DCP2100 SADownStartingFrequency Denial of Service (https://strikecenter.bpointsys.com/bps/strikes/denial/misc/cisco_dcp2100_denial_of_service.xml),http://www.exploit-db.com/exploits/21523/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f21523%2f)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.8%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aN%2fI%3aN%2fA%3aC%29),.,1421927419-1421927422
Generic, IXIA,tcp,175.45.176.0,29309,149.171.126.14,3000,Alt-N_MDaemon_WorldClient_Service_Memory_Corruption_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/alt-n_mdaemon_worldclient_service_memory_corruption_attack.xml),CVE 2008-2631 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2008%2d2631)OSVDB 45923 (http://www.osvdb.org/45923)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aN%2fA%3aP%29),.,1421927420-1421927420
Exploits,Browser,tcp,175.45.176.0,61089,149.171.126.18,80,Microsoft Internet Explorer Frameset Memory Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms06_042_html_frameset_memory_corruption.xml),CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927421
Exploits,Browser,tcp,175.45.176.0,4159,149.171.126.18,80,Microsoft Internet Explorer Frameset Memory Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms06_042_html_frameset_memory_corruption.xml),CVE 2006-3637 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2006%2d3637)BID 18227 (http://www.securityfocus.com/bid/18227)OSVDB 27853 (http://www.osvdb.org/27853)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.1%20%28AV%3aN%2fAC%3aH%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927421-1421927422
Exploits,SCADA,Tcp,175.45.176.3,44762,149.171.126.12,80,Mitsubishi EZPcAut260.dll ActiveX Control ESOpen Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/scada/cve_2014_1641_Mitsubishi_EZPcAut260_ActiveX_Control_ESOpen_bo.xml),CVE 2014-1641 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2014%2d1641)BPS 2014-0005 (https://strikecenter.bpointsys.com/bps/advisory/BPS-2014%2d0005)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927422-1421927422
Exploits,Browser,tcp,175.45.176.2,43850,149.171.126.13,80,Microsoft Internet Explorer Layouts Handling Memory Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms11_018_layouts_handling_memory_corruption.xml),CVE 2011-0094 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2011%2d0094)MSB MS11-018 (http://www.microsoft.com/technet/security/bulletin/MS11%2d018.mspx)BID 47190 (http://www.securityfocus.com/bid/47190)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/9.3%20%28AV%3aN%2fAC%3aM%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927423-1421927423
Exploits,Browser,tcp,175.45.176.1,4765,149.171.126.13,80,Microsoft Internet Explorer ActiveX Arbitrary Command Execution (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms03_040_malicious_popups.xml),CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927425
Exploits,Browser,tcp,175.45.176.1,52726,149.171.126.13,80,Microsoft Internet Explorer ActiveX Arbitrary Command Execution (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms03_040_malicious_popups.xml),CVE 2003-0838 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2003%2d0838)MSB MS03-040 (http://www.microsoft.com/technet/security/bulletin/MS03%2d040.mspx)BID 8556 (http://www.securityfocus.com/bid/8556)OSVDB 7872 (http://www.osvdb.org/7872)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927425-1421927426
Reconnaissance,SunRPC Portmapper (UDP) TCP Service,udp,175.45.176.3,22359,149.171.126.11,111,SunRPC UDP Portmapper GETPORT Request (iostatv2/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/iostat_v2_tcp.xml),-,.,1421927426-1421927426
Exploits,Miscellaneous Batch,tcp,175.45.176.0,9590,149.171.126.10,6661,BigAnt Server Arbitrary File Upload (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2012_6274.xml),CVE 2012-6274 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2012%2d6274)BID 57214 (http://www.securityfocus.com/bid/57214)OSVDB 89342 (http://www.osvdb.org/89342)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aN%2fI%3aP%2fA%3aN%29),.,1421927427-1421927427
Exploits,SCADA,tcp,175.45.176.0,36918,149.171.126.17,80,Advantech WebAccess SCADA webvact NodeName2 Buffer overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/scada/cve_2014_0766_advantech_webaccess_scada_webvact_nodename2_bo.xml),CVE 2014-0766 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2014%2d0766)BID 66725 (http://www.securityfocus.com/bid/66725)OSVDB 105565 (http://www.osvdb.org/105565)http://secunia.com/advisories/57873 (http%3a%2f%2fsecunia.com%2fadvisories%2f57873)CVSS-High (https://strikecenter.bpointsys.com/bps/reference/CVSS/7.5%20%28AV%3aN%2fAC%3aL%2fAU%3aN%2fC%3aP%2fI%3aP%2fA%3aP%29),.,1421927427-1421927428
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,175.45.176.0,27804,149.171.126.16,111,SunRPC TCP Portmapper GETPORT Request (etherifv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/etherif_v3_udp.xml),-,.,1421927428-1421927429
Exploits,Miscellaneous Batch,tcp,175.45.176.2,63163,149.171.126.11,8080,HP SiteScope Default User information (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/osvdb_74865_hp_sitescope_default_credential.xml),BID 49345 (http://www.securityfocus.com/bid/49345)OSVDB 74865 (http://www.osvdb.org/74865)CVSS-Moderate (https://strikecenter.bpointsys.com/bps/reference/CVSS/5.5%20%28AV%3aN%2fAC%3aL%2fAu%3aS%2fC%3aP%2fI%3aP%2fA%3aN%29),.,1421927429-1421927429
Exploits,Web Application,tcp,175.45.176.3,23776,149.171.126.12,80,Headline Portal Engine page.dmoz.show.php3 HPEinc Parameter PHP File Include Variant 2 (https://strikecenter.bpointsys.com/bps/strikes/exploits/webapp/include/hpi_include_18.xml),BID 19663 (http://www.securityfocus.com/bid/19663)http://www.exploit-db.com/exploits/28426/ (http%3a%2f%2fwww.exploit%2ddb.com%2fexploits%2f28426%2f)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927430-1421927430
Exploits,Miscellaneous Batch,tcp,175.45.176.2,45388,149.171.126.18,80,HP OpenView Network Node Manager memory Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2010_1550.xml),CVE 2010-1550 (http://cve.mitre.org/cgi-bin/cvename.cgi?name=2010%2d1550)CVSS-Critical (https://strikecenter.bpointsys.com/bps/reference/CVSS/10.0%20%28AV%3aN%2fAC%3aL%2fAu%3aN%2fC%3aC%2fI%3aC%2fA%3aC%29),.,1421927431-1421927431
